index,section,target,en,ru,es,pt,status
72,Steps,steps.items.companyAccount.description,"Make a quick profile check and verification, fill in the required fields and get access to the service. We will customize it to your needs and wishes in a couple of clicks.","Пройдите быструю проверку профиля, заполните обязательные поля и получите доступ к сервису. Мы адаптируем его под ваши потребности и пожелания всего за несколько кликов.","Realiza una rápida comprobación y verificación de tu perfil, rellena los campos obligatorios y obtén acceso al servicio. Lo personalizaremos según tus necesidades y deseos en un par de clics.","Faça uma rápida verificação do perfil, preencha os campos necessários e obtenha acesso ao serviço. Personalizaremos tudo de acordo com as suas necessidades e preferências em apenas alguns cliques.",mapped_by_draft_order
73,Steps,steps.items.financialContact.title,Assign a financial contact person,Назначьте ответственное лицо по финансовым вопросам,Asigna una persona de contacto para asuntos financieros,Defina um contacto financeiro responsável,mapped_by_draft_order
74,Steps,steps.items.financialContact.description,"Specify the person who will be responsible for financial matters. This may be the finance director, the head of the finance department, or yourself.","Укажите лицо, которое будет отвечать за финансовые вопросы. Это может быть финансовый директор, руководитель финансового отдела или вы сами.","Especifica quién será la persona responsable de los asuntos financieros. Puede ser el director financiero, el jefe del departamento financiero o tú mismo.","Indique a pessoa responsável pelas questões financeiras. Pode ser o diretor financeiro, o responsável do departamento financeiro ou si próprio.",mapped_by_draft_order
75,Steps,steps.items.contract.title,Create your first EoR contract,Составьте свой первый договор о предоставлении услуг официального работодателя,Crea tu primer contrato EoR,Crie o seu primeiro contrato EoR,mapped_by_draft_order
76,Steps,steps.items.contract.description,"Enter the employee's details: country of employment, position, salary, start date, salary currency, and work visa requirements.","Введите данные о сотруднике: страну работы, должность, заработную плату, дату начала работы, валюту выплаты заработной платы и требования к рабочей визе.","Introduce los datos del empleado: país de trabajo, puesto, salario, fecha de inicio, moneda del salario y requisitos de visado de trabajo.","Introduza os dados do funcionário: país de contratação, cargo, salário, data de início, moeda salarial e requisitos de visto de trabalho.",mapped_by_draft_order
77,Steps,steps.items.invite.title,Invite an employee,Пригласите сотрудника,Invita a un empleado,Convide um funcionário,mapped_by_draft_order
78,Steps,steps.items.invite.description,"After your request in the personal account, the employee receives a personal invitation by e-mail and creates an account in Garna to receive payments.",После отправки запроса в личном кабинете сотрудник получает личное приглашение по электронной почте и создает аккаунт в Garna для получения выплат.,"Tras su solicitud en la cuenta personal, el empleado recibe una invitación personal por correo electrónico y crea una cuenta en Garna para recibir los pagos.","Após o pedido na conta pessoal, o funcionário recebe um convite individual por e-mail e cria uma conta na Garna para receber pagamentos.",mapped_by_draft_order
79,Steps,steps.items.fundWallet.title,Fund your wallet and run first payroll,Пополните свой кошелек и проведите первую оплату труда,Recarga tu monedero y procesa la primera nómina,Adicione fundos à carteira e execute o primeiro payroll,mapped_by_draft_order
80,Steps,steps.items.fundWallet.description,You can do this in any convenient way: from SWIFT and SEPA to crypto. Start paying your salary today.,Вы можете сделать это любым удобным для вас способом: от SWIFT и SEPA до криптовалюты. Начните выплачивать зарплату уже сегодня.,Puedes hacerlo de la forma que te resulte más cómoda: desde SWIFT y SEPA hasta criptomonedas. Empieza a pagar tu salario hoy mismo.,Pode fazê-lo da forma mais conveniente: desde SWIFT e SEPA até criptomoedas. Comece hoje mesmo a pagar salários.,mapped_by_draft_order
81,Proof / Logos,proof.title,Proud to influence their stellar and smooth workflows.,"Мы гордимся тем, что способствуем их безупречной и слаженной работе.",Orgullosos de contribuir a sus excelentes y fluidos flujos de trabajo.,Orgulhamo-nos de contribuir para workflows eficientes e sem complicações.,mapped_by_draft_order
82,FAQ,faq.title,FAQ on Employer of Record,Часто задаваемые вопросы об услуге «официальный работодатель»,Preguntas frecuentes sobre el empleador oficial,Perguntas frequentes sobre Employer of Record,mapped_by_draft_order
83,FAQ,faq.items.q1.question,What is an Employer of Record (EoR)?,Что такое «Официальный работодатель»?,¿Qué es un empleador de referencia (EoR)?,O que é um Employer of Record (EoR)?,mapped_by_draft_order
84,FAQ,faq.items.q1.answer,"An Employer of Record (EoR) is a third-party company that legally employs workers on behalf of another business. They're the ones responsible for handling things, like payroll, taxes, compliance, contracts, and making sure the local employment rules are followed.","«Официальный работодатель» — это сторонняя компания, которая на законных основаниях нанимает работников от имени другого предприятия. Именно они отвечают за такие вопросы, как оплата труда, налоги, соблюдение нормативных требований, заключение договоров, а также за обеспечение соблюдения местных трудовых норм.","Un empleador de referencia (EoR) es una empresa externa que contrata legalmente a los trabajadores en nombre de otra empresa. Son los responsables de gestionar aspectos como las nóminas, los impuestos, el cumplimiento normativo, los contratos y de garantizar que se respeten las normas laborales locales.","Um Employer of Record (EoR) é uma empresa terceira que emprega legalmente trabalhadores em nome de outra empresa. É responsável por payroll, impostos, conformidade, contratos e por garantir o cumprimento das leis laborais locais.",mapped_by_draft_order
85,FAQ,faq.items.q2.question,How is an EoR different from a professional employer organization (PEO)?,Чем «Официальный работодатель» отличается от профессиональной организации-работодателя?,¿En qué se diferencia un EoR de una organización profesional de empleadores (PEO)?,Qual é a diferença entre um EoR e uma Professional Employer Organization (PEO)?,mapped_by_draft_order
86,FAQ,faq.items.q2.answer,"A PEO is a type of company that uses the 'co-employment' model. They work together with the client company to manage the employees. They usually need the client company to already have a local setup. An EoR, on the other hand, acts as the official employer so you don't need to set up a business in every country you want to work in.","Профессиональная организация-работодатель — это тип компании, которая использует модель «совместного найма». Они сотрудничают с компанией-заказчиком в вопросах управления персоналом. Как правило, для этого необходимо, чтобы у компании-заказчика уже была налажена местная инфраструктура. С другой стороны, «официальный работодатель» выступает в качестве официального нанимателя, благодаря чему вам не нужно регистрировать компанию в каждой стране, где вы хотите работать.","Una PEO es un tipo de empresa que utiliza el modelo de «coempleo». Trabaja conjuntamente con la empresa cliente para gestionar a los empleados. Por lo general, requiere que la empresa cliente ya cuente con una estructura local. Un EoR, por su parte, actúa como empleador oficial, por lo que no es necesario establecer una empresa en cada país en el que se desee trabajar.","Uma PEO utiliza o modelo de “co-emprego”. Trabalha em conjunto com a empresa cliente para gerir funcionários e normalmente exige que a empresa já possua presença local. Um EoR, por outro lado, atua como empregador oficial, permitindo contratar sem abrir uma empresa em cada país.",mapped_by_draft_order
87,FAQ,faq.items.q3.question,When should you use an EoR?,В каких случаях следует прибегать к услугам «официального работодателя»?,¿Cuándo conviene recurrir a un EoR?,Quando deve utilizar um EoR?,mapped_by_draft_order
88,FAQ,faq.items.q3.answer,"If you want to start hiring people in countries you aren't already set up to do business in, an EoR is your solution. It lets you expand internationally without having to go through a tiring process of starting a subsidiary in each place and sorting out all the local labour rules.","Если вы хотите начать нанимать сотрудников в странах, где у вас пока нет представительства, услуга «официальный работодатель» станет для вас идеальным решением. Это позволяет вам выходить на международный рынок, не проходя через утомительный процесс открытия дочерних компаний в каждой стране и разбираясь со всеми местными трудовыми нормами.","Si quieres empezar a contratar personal en países en los que aún no tienes una estructura para hacer negocios, un EoR es la solución. Te permite expandirte internacionalmente sin tener que pasar por el tedioso proceso de crear una filial en cada lugar y lidiar con todas las normas laborales locales.","Se pretende começar a contratar pessoas em países onde ainda não possui estrutura empresarial, um EoR é a solução ideal. Permite expandir internacionalmente sem passar pelo processo cansativo de abrir subsidiárias e resolver todas as regras laborais locais.",mapped_by_draft_order
89,FAQ,faq.items.q4.question,EoR vs own international entity setup: which is better?,«Официальный работодатель» или создание собственной международной компании: что лучше?,EoR frente a la creación de una entidad internacional propia: ¿qué es mejor?,EoR vs criação da própria entidade internacional: qual é melhor?,mapped_by_draft_order
90,FAQ,faq.items.q4.answer,"Setting up a local entity can be expensive and tiring, especially if you're just starting out in a new market. An EoR is usually faster to set up and way more flexible for businesses that need to hire globally. You can try out new regions, scale your team without any complexities.","Создание местной компании может оказаться дорогостоящим и трудоемким процессом, особенно если вы только начинаете работу на новом рынке. Обычно использование услуги «официального работодателя» занимает меньше времени и обеспечивает гораздо большую гибкость для компаний, которым необходимо нанимать сотрудников по всему миру. Вы можете тестировать новые регионы и расширять свою команду без каких-либо сложностей.","Constituir una entidad local puede resultar caro y agotador, especialmente si acabas de empezar en un nuevo mercado. Un EoR suele ser más rápido de constituir y mucho más flexible para las empresas que necesitan contratar a nivel global. Puedes probar nuevas regiones y ampliar tu equipo sin complicaciones.","Criar uma entidade local pode ser caro e demorado, especialmente ao entrar num novo mercado. Um EoR normalmente é muito mais rápido de implementar e bastante mais flexível para empresas que precisam contratar globalmente. Pode testar novos mercados e expandir equipas sem complexidade desnecessária.",mapped_by_draft_order
91,FAQ,faq.items.q5.question,What EoR model does Garna have?,Какую модель «официального работодателя» использует компания Garna?,¿Qué modelo de EoR ofrece Garna?,Que modelo EoR a Garna oferece?,mapped_by_draft_order
92,FAQ,faq.items.q5.answer,"Garna has a flexible global EoR solution that includes all the necessary features you need, like payroll, compliance, and onboarding in a single platform. We also have API integrations and white-label options as well as support for teams that work across multiple countries.","Garna предлагает гибкое глобальное решение «Официальный работодатель», которое объединяет на одной платформе все необходимые функции, такие как оплата труда, обеспечение соответствия нормативным требованиям и адаптация новых сотрудников. Кроме того, мы предлагаем API-интеграцию и возможности White Label, а также поддержку команд, работающих в разных странах.","Garna ofrece una solución global de EoR flexible que incluye todas las funciones necesarias, como la gestión de nóminas, el cumplimiento normativo y la incorporación de personal, en una única plataforma. También contamos con integraciones API y opciones de marca blanca, así como soporte para equipos que trabajan en varios países.","A Garna possui uma solução global EoR flexível que inclui todas as funcionalidades necessárias, como payroll, conformidade e onboarding numa única plataforma. Também oferecemos integrações API, opções White Label e suporte para equipas que trabalham em múltiplos países.",mapped_by_draft_order
93,Final CTA,finalCta.title,Global Employer of Record is A Modern Hiring Process Done Stress-Free,Международный официальный работодатель — это современный процесс найма без лишних хлопот,El empleador de referencia global es un proceso de contratación moderno y sin estrés,Global Employer of Record é um processo moderno de contratação sem stress,mapped_by_draft_order
94,Final CTA,finalCta.description,Garna offers exceptional 24/7 expert support and all the necessary features that let you have employee experiences all over the world with no arising crises and unexpected issues on your way.,"Garna предлагает круглосуточную квалифицированную поддержку и все необходимые функции, которые позволяют вам управлять персоналом по всему миру, не сталкиваясь с кризисными ситуациями и непредвиденными проблемами.",Garna ofrece un excepcional soporte de expertos 24/7 y todas las funciones necesarias que te permiten gestionar la experiencia de tus empleados en todo el mundo sin que surjan crisis ni problemas inesperados en el camino.,A Garna oferece suporte especializado 24/7 e todas as funcionalidades necessárias para garantir uma experiência de contratação global sem crises inesperadas nem problemas operacionais.,mapped_by_draft_order
95,Final CTA,finalCta.button,Start Going Global,Выйти на мировой рынок,Empieza a expandirte a nivel global,Começar expansão global,mapped_by_draft_order
