id,key,status,current_english,best_draft_en,score,draft_index,draft_ru,draft_es,draft_pt,notes
eor_076,,missing,Finance,"Specify the person who will be responsible for financial matters. This may be the finance director, the head of the finance department, or yourself.",0.100,74,"Укажите лицо, которое будет отвечать за финансовые вопросы. Это может быть финансовый директор, руководитель финансового отдела или вы сами.","Especifica quién será la persona responsable de los asuntos financieros. Puede ser el director financiero, el jefe del departamento financiero o tú mismo.",Defina um contacto financeiro responsável,Current EN may differ from SEO draft; verify before applying
eor_077,,weak_review,Integrate EoR into your tools,Integrate EoR to your tools and systems,0.667,30,Интегрируйте услугу официального работодателя в свои инструменты и системы,Integra EoR en tus herramientas y sistemas,Integre EoR nas suas ferramentas e sistemas,Current EN may differ from SEO draft; verify before applying
eor_078,,weak_review,"Connect with existing HR, finance, and workforce management tools without disrupting your processes","Our system connects seamlessly with your existing HR, finance and workforce management tools, so you don't have to disrupt existing processes.",0.606,31,"Наша система легко интегрируется с вашими существующими системами управления персоналом, финансами и трудовыми ресурсами, поэтому вам не придется нарушать сложившиеся рабочие процессы.","Nuestro sistema se integra a la perfección con tus herramientas actuales de RR. HH., finanzas y gestión de personal, para que no tengas que alterar los procesos existentes.","O nosso sistema integra-se facilmente com as ferramentas existentes de RH, finanças e gestão de equipas, sem necessidade de alterar processos atuais.",Current EN may differ from SEO draft; verify before applying
eor_079,,missing,SOC,,0.000,,,,,Current EN may differ from SEO draft; verify before applying
eor_080,,missing,ISO,,0.000,,,,,Current EN may differ from SEO draft; verify before applying
eor_081,,fuzzy_review,Built for fast-moving companies,Built for the fast-moving companies,0.909,32,"Система, созданная для динамично развивающихся компаний",Diseñado para empresas en rápido crecimiento,Criado para empresas que se movem rapidamente,Current EN may differ from SEO draft; verify before applying
eor_082,,missing,Support startups entering new markets and larger teams managing global workforce operations,Expand Into New Markets,0.250,14,"Предотвратить любые возможные ошибки, которые могут возникнуть при найме и увольнении сотрудников в разных странах",Evita cualquier posible error que pueda surgir durante la contratación y el despido de personal en diferentes países,Evite possíveis erros relacionados com contratação e despedimento de funcionários em diferentes países.,Current EN may differ from SEO draft; verify before applying
eor_083,,weak_review,"Why Garna Why Companies Choose Garna Garna makes it easier to manage global employment from finding the right people to setting them up, paying them, and keeping paperwork organized","Garna makes it easier for companies to manage every single bit of their global employment — from tracking down the right people to bring on board to getting them set up, paid, and the paperwork sorted out.",0.596,35,"Garna упрощает компаниям управление всеми аспектами глобального найма персонала — от поиска подходящих кандидатов до их приема на работу, оформления, выплаты заработной платы и урегулирования всех необходимых документов.","Garna facilita a las empresas la gestión de todos los aspectos de su plantilla global, desde la búsqueda de los candidatos adecuados hasta su incorporación, la gestión de sus salarios y la tramitación de la documentación.","A Garna facilita às empresas a gestão de cada etapa do emprego global — desde encontrar as pessoas certas para contratar até integrá-las, efetuar pagamentos e organizar toda a documentação.",Current EN may differ from SEO draft; verify before applying
eor_084,,missing,Sourcing Onboarding Documents Payroll Reporting Termination,Sourcing,0.286,36,Подбор персонала,Búsqueda de talento,Recrutamento,Current EN may differ from SEO draft; verify before applying
eor_085,,weak_review,"Sourcing Finding the Right Talent, Quickly Find and hire global talent faster with tools that make cross-border hiring simple and compliant",Garna is here to help you find and hire global talent a lot faster with tools that make cross-border hiring simple and help you stay on the right side of the law.,0.653,39,"Garna поможет вам ускорить процесс поиска и найма специалистов по всему миру благодаря инструментам, которые упрощают международный набор персонала и позволяют вам соблюдать все нормативные требования.",Garna está aquí para ayudarte a encontrar y contratar talento global mucho más rápido con herramientas que simplifican la contratación transfronteriza y te ayudan a cumplir con la legislación.,A Garna ajuda-o a encontrar e contratar talentos globais muito mais rapidamente através de ferramentas que simplificam a contratação internacional e ajudam a manter conformidade legal.,Current EN may differ from SEO draft; verify before applying
eor_086,,missing,Talent search Global matching,Button: Start Going Global,0.250,95,Кнопка: Выйти на мировой рынок,Botón: Empieza a expandirte a nivel global,A Garna oferece suporte especializado 24/7 e todas as funcionalidades necessárias para garantir uma experiência de contratação global sem crises inesperadas nem problemas operacionais.,Current EN may differ from SEO draft; verify before applying
eor_087,,missing,Talent search Global,Button: Start Going Global,0.286,95,Кнопка: Выйти на мировой рынок,Botón: Empieza a expandirte a nivel global,A Garna oferece suporte especializado 24/7 e todas as funcionalidades necessárias para garantir uma experiência de contratação global sem crises inesperadas nem problemas operacionais.,Current EN may differ from SEO draft; verify before applying
eor_088,,missing,Maya R. 92% match,,0.000,,,,,Current EN may differ from SEO draft; verify before applying
eor_089,,missing,Product designer · Portugal,,0.000,,,,,Current EN may differ from SEO draft; verify before applying
eor_090,,missing,Alex T. 88% match,,0.000,,,,,Current EN may differ from SEO draft; verify before applying
eor_091,,missing,Backend engineer · Poland,,0.000,,,,,Current EN may differ from SEO draft; verify before applying
eor_092,,missing,Cross-border hiring checks ready,Garna is here to help you find and hire global talent a lot faster with tools that make cross-border hiring simple and help you stay on the right side of the law.,0.176,39,"Garna поможет вам ускорить процесс поиска и найма специалистов по всему миру благодаря инструментам, которые упрощают международный набор персонала и позволяют вам соблюдать все нормативные требования.",Garna está aquí para ayudarte a encontrar y contratar talento global mucho más rápido con herramientas que simplifican la contratación transfronteriza y te ayudan a cumplir con la legislación.,A Garna ajuda-o a encontrar e contratar talentos globais muito mais rapidamente através de ferramentas que simplificam a contratação internacional e ajudam a manter conformidade legal.,Current EN may differ from SEO draft; verify before applying
eor_093,,missing,"Onboarding Automating International Employee Onboarding Country-aware workflows help new employees get started through one platform, with less manual HR work","Garna makes international employee onboarding simpler with special workflows that make sure everything is done the right way in each country. Instead of having to deal with different systems and paperwork, you can on-board employees all over the world through one platform and cut down on all the manual HR work.",0.394,43,"Garna упрощает процесс адаптации иностранных сотрудников благодаря специальным рабочим процессам, которые гарантируют, что все процедуры выполняются в соответствии с требованиями каждой страны. Вместо того чтобы иметь дело с разными системами и бумажной волокитой, вы можете оформлять сотрудников по всему миру через единую платформу и сократить объем ручной работы в отделе кадров.","Garna simplifica la incorporación de empleados internacionales con flujos de trabajo específicos que garantizan que todo se haga correctamente en cada país. En lugar de tener que lidiar con diferentes sistemas y trámites, puedes incorporar a empleados de todo el mundo a través de una sola plataforma y reducir todo el trabajo manual de RR. HH.","A Garna torna o onboarding internacional mais simples através de workflows especiais que garantem que tudo é feito corretamente em cada país. Em vez de lidar com diferentes sistemas e documentação, pode integrar funcionários em todo o mundo através de uma única plataforma e reduzir significativamente o trabalho manual de RH.",Current EN may differ from SEO draft; verify before applying
eor_094,,weak_review,New employee Invite sent,Invite an employee,0.571,77,Пригласите сотрудника,Invita a un empleado,"Introduza os dados do funcionário: país de contratação, cargo, salário, data de início, moeda salarial e requisitos de visto de trabalho.",Current EN may differ from SEO draft; verify before applying
eor_095,,missing,New employee Sara K. Growth lead · UAE,Invite an employee,0.200,77,Пригласите сотрудника,Invita a un empleado,"Introduza os dados do funcionário: país de contratação, cargo, salário, data de início, moeda salarial e requisitos de visto de trabalho.",Current EN may differ from SEO draft; verify before applying
eor_096,,missing,01 Invite sent,Invite an employee,0.333,77,Пригласите сотрудника,Invita a un empleado,"Introduza os dados do funcionário: país de contratação, cargo, salário, data de início, moeda salarial e requisitos de visto de trabalho.",Current EN may differ from SEO draft; verify before applying
eor_097,,missing,02 Local contract prepared,Create your first EoR contract,0.222,75,Составьте свой первый договор о предоставлении услуг официального работодателя,Crea tu primer contrato EoR,"Indique a pessoa responsável pelas questões financeiras. Pode ser o diretor financeiro, o responsável do departamento financeiro ou si próprio.",Current EN may differ from SEO draft; verify before applying
eor_098,,missing,03 Payroll profile ready,Payroll,0.400,48,Оплата труда,Nóminas,Payroll,Current EN may differ from SEO draft; verify before applying
eor_099,,weak_review,"Documents Centralizing Contracts and Compliance Documentation Keep contracts, tax forms, payroll records, and compliance documents together in one secure platform",Centralizing Contracts and Compliance Documentation,0.476,45,Централизация договоров и документации по обеспечению соответствия,Centralización de contratos y documentación de cumplimiento,Centralização de contratos e documentação de conformidade,Current EN may differ from SEO draft; verify before applying
eor_100,,missing,Compliance vault Documents stored,Documents,0.400,44,Документы,Documentos,Documentos,Current EN may differ from SEO draft; verify before applying
eor_101,,missing,Compliance vault,Maintain Law Compliance,0.400,18,Круглосуточная доступность услуг по оплате труда по всему миру,"Servicio de nóminas global disponible las 24 horas del día, los 7 días de la semana",Disponibilidade global do serviço de payroll 24/7,Current EN may differ from SEO draft; verify before applying
eor_102,,weak_review,EoR contract Signed,Create your first EoR contract,0.500,75,Составьте свой первый договор о предоставлении услуг официального работодателя,Crea tu primer contrato EoR,"Indique a pessoa responsável pelas questões financeiras. Pode ser o diretor financeiro, o responsável do departamento financeiro ou si próprio.",Current EN may differ from SEO draft; verify before applying
eor_103,,missing,Tax forms Stored,"Trying to keep track of all different contracts, tax forms, payroll records, and compliance documents can be as much of a nightmare as an operational risk for any international team.",0.129,46,"Отслеживание всех различных договоров, налоговых форм, документов по начислению зарплаты и соблюдению нормативных требований может стать настоящим кошмаром и представлять собой операционный риск для любой международной команды.","Intentar llevar un control de todos los diferentes contratos, formularios fiscales, registros de nóminas y documentos de cumplimiento normativo puede ser tanto una pesadilla como un riesgo operativo para cualquier equipo internacional.","Tentar acompanhar diferentes contratos, formulários fiscais, registos de payroll e documentos de conformidade pode transformar-se tanto num pesadelo operacional como num risco para qualquer equipa internacional.",Current EN may differ from SEO draft; verify before applying
eor_104,,weak_review,Payroll records Synced,Payroll,0.500,48,Оплата труда,Nóminas,Payroll,Current EN may differ from SEO draft; verify before applying
eor_105,,weak_review,Payroll Running Global Payroll Without All the Stress Automated workflows help companies pay people around the world while reducing payroll errors and extra work,"Garna eases the pain of managing international payroll by setting up automated workflows. With our system, your company can pay people all around the world quickly while excluding payroll errors and extra work.",0.538,51,"Garna упрощает процесс управления оплатой труда сотрудников в разных странах за счет внедрения автоматизированных рабочих процессов. С помощью нашей системы ваша компания сможет быстро выплачивать заработную плату сотрудникам по всему миру, исключив при этом ошибки в расчетах и лишнюю работу.","Garna alivia la carga de gestionar la nómina internacional mediante la configuración de flujos de trabajo automatizados. Con nuestro sistema, tu empresa puede pagar a personas de todo el mundo rápidamente, evitando errores en la nómina y trabajo extra.","A Garna reduz a complexidade da gestão de payroll internacional através de workflows automatizados. Com o nosso sistema, a sua empresa pode pagar rapidamente a pessoas em todo o mundo, eliminando erros de payroll e trabalho adicional.",Current EN may differ from SEO draft; verify before applying
eor_106,,missing,Payroll run Ready to pay,Payroll,0.333,48,Оплата труда,Nóminas,Payroll,Current EN may differ from SEO draft; verify before applying
eor_107,,missing,"Payroll run $84,250",Payroll,0.400,48,Оплата труда,Nóminas,Payroll,Current EN may differ from SEO draft; verify before applying
eor_108,,missing,Ready,,0.000,,,,,Current EN may differ from SEO draft; verify before applying
eor_109,,missing,SWIFT 42%,You can do this in any convenient way: from SWIFT and SEPA to crypto. Start paying your salary today.,0.095,80,Вы можете сделать это любым удобным для вас способом: от SWIFT и SEPA до криптовалюты. Начните выплачивать зарплату уже сегодня.,Puedes hacerlo de la forma que te resulte más cómoda: desde SWIFT y SEPA hasta criptomonedas. Empieza a pagar tu salario hoy mismo.,Adicione fundos à carteira e execute o primeiro payroll,Current EN may differ from SEO draft; verify before applying
eor_110,,missing,SEPA 36%,You can do this in any convenient way: from SWIFT and SEPA to crypto. Start paying your salary today.,0.095,80,Вы можете сделать это любым удобным для вас способом: от SWIFT и SEPA до криптовалюты. Начните выплачивать зарплату уже сегодня.,Puedes hacerlo de la forma que te resulte más cómoda: desde SWIFT y SEPA hasta criptomonedas. Empieza a pagar tu salario hoy mismo.,Adicione fundos à carteira e execute o primeiro payroll,Current EN may differ from SEO draft; verify before applying
eor_111,,missing,Crypto 22%,You can do this in any convenient way: from SWIFT and SEPA to crypto. Start paying your salary today.,0.095,80,Вы можете сделать это любым удобным для вас способом: от SWIFT и SEPA до криптовалюты. Начните выплачивать зарплату уже сегодня.,Puedes hacerlo de la forma que te resulte más cómoda: desde SWIFT y SEPA hasta criptomonedas. Empieza a pagar tu salario hoy mismo.,Adicione fundos à carteira e execute o primeiro payroll,Current EN may differ from SEO draft; verify before applying
eor_112,,weak_review,"Reporting Getting a Clear View of Your Global Workforce See payroll, compliance, onboarding, and workforce costs in one reporting layer with API-first infrastructure",Getting A Clear View Of Your Global Workforce,0.533,56,Получение четкого представления о вашем международном коллективе,Obtenga una visión clara de su plantilla global,Relatórios,Current EN may differ from SEO draft; verify before applying
eor_113,,missing,Workforce costs Live report,Grow Your Global Workforce Faster,0.222,9,Быстрее нанимать сотрудников по всему миру,Contratar a nivel global más rápido,Contratar globalmente mais rápido,Current EN may differ from SEO draft; verify before applying
eor_114,,missing,"Workforce costs $678,200",Grow Your Global Workforce Faster,0.222,9,Быстрее нанимать сотрудников по всему миру,Contratar a nivel global más rápido,Contratar globalmente mais rápido,Current EN may differ from SEO draft; verify before applying
eor_115,,fuzzy_review,Countries 150+,150+ countries covered,0.800,8,"Все это означает, что вы можете:",Todo esto significa que puedes:,Tudo isto significa que pode:,Current EN may differ from SEO draft; verify before applying
eor_116,,missing,Compliance checks 24/7,24/7 global payroll service availability,0.400,7,"Услуга «Официальный работодатель» (EoR) помогает компаниям нанимать иностранных сотрудников без открытия местных юридических лиц. Поставщик услуг по официальному трудоустройству нанимает работника на законных основаниях от вашего имени, в то время как вы управляете его повседневной работой, обязанностями и производительностью.","Un «empleador de referencia» (EoR) ayuda a las empresas a contratar empleados internacionales sin necesidad de abrir entidades locales. El proveedor de EoR contrata legalmente al trabajador en su nombre, mientras usted gestiona su trabajo diario, sus responsabilidades y su rendimiento.","Um Employer of Record (EoR) ajuda empresas a contratar funcionários internacionais sem abrir entidades locais. O fornecedor EoR emprega legalmente o trabalhador em seu nome, enquanto gere o trabalho diário, responsabilidades e desempenho.",Current EN may differ from SEO draft; verify before applying
eor_117,,weak_review,Termination Offboarding Compliantly in a Global Market Country-specific termination workflows help teams offboard employees with confidence,Offboarding Compliantly In A Global Market,0.545,60,Оформление ухода из компании в соответствии с нормами на глобальном рынке,Gestión de bajas conforme a la normativa en un mercado global,Rescisão,Current EN may differ from SEO draft; verify before applying
eor_118,,missing,Offboarding Notice rules checked,Offboarding Compliantly In A Global Market,0.200,60,Оформление ухода из компании в соответствии с нормами на глобальном рынке,Gestión de bajas conforme a la normativa en un mercado global,Rescisão,Current EN may differ from SEO draft; verify before applying
eor_119,,missing,1 Notice rules checked,1. What is an Employer of Record (EoR)?,0.167,83,1. Что такое «Официальный работодатель»?,1. ¿Qué es un empleador de referencia (EoR)?,Perguntas frequentes sobre Employer of Record,Current EN may differ from SEO draft; verify before applying
eor_120,,missing,2 Final payroll calculated,Payroll,0.400,48,Оплата труда,Nóminas,Payroll,Current EN may differ from SEO draft; verify before applying
eor_121,,weak_review,3 Documents archived,Documents,0.500,44,Документы,Documentos,Documentos,Current EN may differ from SEO draft; verify before applying
eor_122,,fuzzy_review,Fit check Is Garna Employer of Record the Right Fit for Your Business?,Is Garna Employer of Record the Right Fit for Your Business?,0.957,63,Подходит ли услуга официального работодателя от Garna для вашего бизнеса?,¿Es Garna Employer of Record la opción adecuada para tu empresa?,Os nossos workflows de rescisão são adaptados às leis laborais específicas de cada país para que possa realizar offboarding com total confiança.,Current EN may differ from SEO draft; verify before applying
eor_123,,fuzzy_review,You want to bring on international staff without setting up an office in every country,You want to bring on international staff without going through the trouble of setting up an office in every country.,0.857,64,"Вы хотите нанимать сотрудников из разных стран, не утруждая себя открытием офисов в каждой из них.",Quieres contratar personal internacional sin tener que pasar por la molestia de establecer una oficina en cada país.,A solução Employer of Record da Garna é adequada para o seu negócio?,Current EN may differ from SEO draft; verify before applying
eor_124,,weak_review,"You want to automate global payroll, taxes, and compliance instead of juggling manual workflows","You want to automate your global payroll, taxes, and compliance and never return to fiddling with manual work flows across multiple systems.",0.588,65,"Вы хотите автоматизировать процесс оплаты труда, уплаты налогов и обеспечения соблюдения нормативных требований на глобальном уровне и больше никогда не возвращаться к ручной обработке данных в нескольких системах.","Quieres automatizar tu nómina global, los impuestos y el cumplimiento normativo, y no volver nunca más a lidiar con flujos de trabajo manuales en múltiples sistemas.",Pretende contratar funcionários internacionais sem ter de abrir escritórios em cada país.,Current EN may differ from SEO draft; verify before applying
eor_125,,fuzzy_review,"You already have international talent to hire and need help with contracts, onboarding, and compliance","You already have international talent you want to hire but you need some help with paperwork, from contracts to onboarding to full compliance.",0.788,66,"У вас уже есть иностранные специалисты, которых вы хотите принять на работу, но вам нужна помощь с оформлением документов — от заключения контрактов до адаптации новых сотрудников и обеспечения соответствия требованиям законодательства.","Ya tienes talento internacional que quieres contratar, pero necesitas ayuda con el papeleo, desde los contratos hasta la incorporación y el cumplimiento normativo.","Pretende automatizar payroll global, impostos e conformidade sem voltar a lidar com workflows manuais em vários sistemas.",Current EN may differ from SEO draft; verify before applying
eor_126,,fuzzy_review,You want to scale distributed teams fast without building internal HR and payroll infrastructure,You want to scale up your distributed teams fast and avoid building the internal HR and payroll infrastructure.,0.839,67,Вы хотите быстро расширить свои удаленные команды и избежать создания внутренней инфраструктуры по управлению персоналом и оплатой труда.,Quieres ampliar rápidamente tus equipos distribuidos y evitar crear una infraestructura interna de RR. HH. y nóminas.,"Já possui talentos internacionais que pretende contratar, mas precisa de ajuda com documentação — desde contratos e onboarding até conformidade total.",Current EN may differ from SEO draft; verify before applying
eor_127,,weak_review,"You need contractor management, bank transfers, cryptocurrency payouts, and multi-country payroll in one platform","You want a global employment partner that can handle all your multi-country payroll needs, contractor management, bank transfers, and cryptocurrency payouts wrapped up in one easy-to-use platform.",0.622,69,"Вам нужен глобальный партнер по кадровым вопросам, который сможет решать все ваши международные задачи по оплате труда, управлению подрядчиками, банковским переводам и выплатам в криптовалюте — и всё это на одной удобной платформе.","Desea un socio de empleo global que pueda gestionar todas sus necesidades de nóminas en varios países, la gestión de contratistas, las transferencias bancarias y los pagos en criptomonedas, todo ello en una única plataforma fácil de usar.",Pretende integrar rapidamente contratados ou funcionários full-time sem lidar diretamente com leis laborais locais.,Current EN may differ from SEO draft; verify before applying
eor_128,,fuzzy_review,How it works Steps to take with Garna,Steps to take with Garna:,0.769,70,Необходимые шаги с Garna:,Pasos a seguir con Garna:,"Pretende um parceiro global de emprego capaz de gerir payroll multi-país, gestão de contratados, transferências bancárias e pagamentos em criptomoedas numa única plataforma simples de utilizar.",Current EN may differ from SEO draft; verify before applying
eor_129,,missing,Profile 3 min,3. When should you use an EoR?,0.200,87,3. В каких случаях следует прибегать к услугам «официального работодателя»?,3. ¿Cuándo conviene recurrir a un EoR?,"Uma PEO utiliza o modelo de “co-emprego”. Trabalha em conjunto com a empresa cliente para gerir funcionários e normalmente exige que a empresa já possua presença local. Um EoR, por outro lado, atua como empregador oficial, permitindo contratar sem abrir uma empresa em cada país.",Current EN may differ from SEO draft; verify before applying
eor_130,,missing,Start,Button: Start Going Global,0.400,95,Кнопка: Выйти на мировой рынок,Botón: Empieza a expandirte a nivel global,A Garna oferece suporte especializado 24/7 e todas as funcionalidades necessárias para garantir uma experiência de contratação global sem crises inesperadas nem problemas operacionais.,Current EN may differ from SEO draft; verify before applying
eor_131,,exact,Set up your company account,Set up your company account,1.000,71,Создайте аккаунт своей компании,Crea tu cuenta de empresa,Passos com a Garna:,
eor_132,,weak_review,"Complete a quick profile check, fill in the required fields, and get access to a customized service flow","Make a quick profile check and verification, fill in the required fields and get access to the service. We will customize it to your needs and wishes in a couple of clicks.",0.651,72,"Пройдите быструю проверку профиля, заполните обязательные поля и получите доступ к сервису. Мы адаптируем его под ваши потребности и пожелания всего за несколько кликов.","Realiza una rápida comprobación y verificación de tu perfil, rellena los campos obligatorios y obtén acceso al servicio. Lo personalizaremos según tus necesidades y deseos en un par de clics.",Configure a conta da sua empresa,Current EN may differ from SEO draft; verify before applying
eor_133,,missing,Finance,"Specify the person who will be responsible for financial matters. This may be the finance director, the head of the finance department, or yourself.",0.100,74,"Укажите лицо, которое будет отвечать за финансовые вопросы. Это может быть финансовый директор, руководитель финансового отдела или вы сами.","Especifica quién será la persona responsable de los asuntos financieros. Puede ser el director financiero, el jefe del departamento financiero o tú mismo.",Defina um contacto financeiro responsável,Current EN may differ from SEO draft; verify before applying
eor_134,,missing,Access,"Make a quick profile check and verification, fill in the required fields and get access to the service. We will customize it to your needs and wishes in a couple of clicks.",0.074,72,"Пройдите быструю проверку профиля, заполните обязательные поля и получите доступ к сервису. Мы адаптируем его под ваши потребности и пожелания всего за несколько кликов.","Realiza una rápida comprobación y verificación de tu perfil, rellena los campos obligatorios y obtén acceso al servicio. Lo personalizaremos según tus necesidades y deseos en un par de clics.",Configure a conta da sua empresa,Current EN may differ from SEO draft; verify before applying
eor_135,,fuzzy_review,Assign a financial contact,Assign a financial contact person,0.889,73,Назначьте ответственное лицо по финансовым вопросам,Asigna una persona de contacto para asuntos financieros,"Faça uma rápida verificação do perfil, preencha os campos necessários e obtenha acesso ao serviço. Personalizaremos tudo de acordo com as suas necessidades e preferências em apenas alguns cliques.",Current EN may differ from SEO draft; verify before applying
eor_136,,weak_review,"Choose the person responsible for financial matters, from a finance director to yourself","Specify the person who will be responsible for financial matters. This may be the finance director, the head of the finance department, or yourself.",0.563,74,"Укажите лицо, которое будет отвечать за финансовые вопросы. Это может быть финансовый директор, руководитель финансового отдела или вы сами.","Especifica quién será la persona responsable de los asuntos financieros. Puede ser el director financiero, el jefe del departamento financiero o tú mismo.",Defina um contacto financeiro responsável,Current EN may differ from SEO draft; verify before applying
eor_137,,missing,Portugal,,0.000,,,,,Current EN may differ from SEO draft; verify before applying
eor_138,,weak_review,EoR contract,Create your first EoR contract,0.571,75,Составьте свой первый договор о предоставлении услуг официального работодателя,Crea tu primer contrato EoR,"Indique a pessoa responsável pelas questões financeiras. Pode ser o diretor financeiro, o responsável do departamento financeiro ou si próprio.",Current EN may differ from SEO draft; verify before applying
eor_139,,missing,"Salary EUR 4,800",4. EoR vs own international entity setup: which is better?,0.143,89,4. «Официальный работодатель» или создание собственной международной компании: что лучше?,4. EoR frente a la creación de una entidad internacional propia: ¿qué es mejor?,"Se pretende começar a contratar pessoas em países onde ainda não possui estrutura empresarial, um EoR é a solução ideal. Permite expandir internacionalmente sem passar pelo processo cansativo de abrir subsidiárias e resolver todas as regras laborais locais.",Current EN may differ from SEO draft; verify before applying
eor_140,,exact,Create your first EoR contract,Create your first EoR contract,1.000,75,Составьте свой первый договор о предоставлении услуг официального работодателя,Crea tu primer contrato EoR,"Indique a pessoa responsável pelas questões financeiras. Pode ser o diretor financeiro, o responsável do departamento financeiro ou si próprio.",
eor_141,,fuzzy_review,"Add country, position, salary, start date, currency, and work visa requirements","Enter the employee's details: country of employment, position, salary, start date, salary currency, and work visa requirements.",0.741,76,"Введите данные о сотруднике: страну работы, должность, заработную плату, дату начала работы, валюту выплаты заработной платы и требования к рабочей визе.","Introduce los datos del empleado: país de trabajo, puesto, salario, fecha de inicio, moneda del salario y requisitos de visado de trabajo.",Crie o seu primeiro contrato EoR,Current EN may differ from SEO draft; verify before applying
eor_142,,weak_review,Invite,Invite an employee,0.500,77,Пригласите сотрудника,Invita a un empleado,"Introduza os dados do funcionário: país de contratação, cargo, salário, data de início, moeda salarial e requisitos de visto de trabalho.",Current EN may differ from SEO draft; verify before applying
eor_143,,missing,Employee email,Invite an employee,0.400,77,Пригласите сотрудника,Invita a un empleado,"Introduza os dados do funcionário: país de contratação, cargo, salário, data de início, moeda salarial e requisitos de visto de trabalho.",Current EN may differ from SEO draft; verify before applying
eor_144,,missing,Account,Set up your company account,0.333,71,Создайте аккаунт своей компании,Crea tu cuenta de empresa,Passos com a Garna:,Current EN may differ from SEO draft; verify before applying
eor_145,,missing,Ready to pay,Everything You Need to Hire and Pay Globally,0.364,20,"Все, что нужно для найма и оплаты труда сотрудников по всему миру",Todo lo que necesitas para contratar y pagar a nivel global,Tudo o que precisa para contratar e pagar globalmente,Current EN may differ from SEO draft; verify before applying
eor_146,,exact,Invite an employee,Invite an employee,1.000,77,Пригласите сотрудника,Invita a un empleado,"Introduza os dados do funcionário: país de contratação, cargo, salário, data de início, moeda salarial e requisitos de visto de trabalho.",
eor_147,,fuzzy_review,The employee receives an invitation by email and creates a Garna account to receive payments,"After your request in the personal account, the employee receives a personal invitation by e-mail and creates an account in Garna to receive payments.",0.778,78,После отправки запроса в личном кабинете сотрудник получает личное приглашение по электронной почте и создает аккаунт в Garna для получения выплат.,"Tras su solicitud en la cuenta personal, el empleado recibe una invitación personal por correo electrónico y crea una cuenta en Garna para recibir los pagos.",Convide um funcionário,Current EN may differ from SEO draft; verify before applying
eor_148,,missing,Wallet balance,Fund your wallet and run first payroll,0.222,79,Пополните свой кошелек и проведите первую оплату труда,Recarga tu monedero y procesa la primera nómina,"Após o pedido na conta pessoal, o funcionário recebe um convite individual por e-mail e cria uma conta na Garna para receber pagamentos.",Current EN may differ from SEO draft; verify before applying
eor_149,,missing,"$84,250",,0.000,,,,,Current EN may differ from SEO draft; verify before applying
eor_150,,missing,SWIFT SEPA Crypto Funded,You can do this in any convenient way: from SWIFT and SEPA to crypto. Start paying your salary today.,0.261,80,Вы можете сделать это любым удобным для вас способом: от SWIFT и SEPA до криптовалюты. Начните выплачивать зарплату уже сегодня.,Puedes hacerlo de la forma que te resulte más cómoda: desde SWIFT y SEPA hasta criptomonedas. Empieza a pagar tu salario hoy mismo.,Adicione fundos à carteira e execute o primeiro payroll,Current EN may differ from SEO draft; verify before applying
eor_151,,fuzzy_review,Fund your wallet and run payroll,Fund your wallet and run first payroll,0.923,79,Пополните свой кошелек и проведите первую оплату труда,Recarga tu monedero y procesa la primera nómina,"Após o pedido na conta pessoal, o funcionário recebe um convite individual por e-mail e cria uma conta na Garna para receber pagamentos.",Current EN may differ from SEO draft; verify before applying
eor_152,,weak_review,"Use SWIFT, SEPA, or crypto funding and start paying salary today",You can do this in any convenient way: from SWIFT and SEPA to crypto. Start paying your salary today.,0.533,80,Вы можете сделать это любым удобным для вас способом: от SWIFT и SEPA до криптовалюты. Начните выплачивать зарплату уже сегодня.,Puedes hacerlo de la forma que te resulte más cómoda: desde SWIFT y SEPA hasta criptomonedas. Empieza a pagar tu salario hoy mismo.,Adicione fundos à carteira e execute o primeiro payroll,Current EN may differ from SEO draft; verify before applying
